LineId,Date,Time,Level,Content,EventId,EventTemplate,ParameterList
577,Oct,10,14,52:41 test-pc systemd-modules-load[1680]: Failed to insert module 'ky_dlp': No such file or directory,b5aef037,52:41 test-pc systemd-modules-load[1680]: Failed to insert module 'ky_dlp': No such file or directory,[]
578,Oct,10,14,52:41 test-pc systemd[1]: Starting kylin dlp control...,2acd0bd8,52:41 test-pc systemd[1]: <*> kylin dlp <*>,"['Starting', 'control...']"
579,Oct,10,14,"52:41 test-pc dbus-daemon[3138]: [system] [limitCtl]: full_limit_name is /etc/dbus-1/conf/com.kylin.dlp.TransControl.limit, id is 2",5e7da106,"52:41 test-pc dbus-daemon[3138]: [system] [limitCtl]: full_limit_name is /etc/dbus-1/conf/com.kylin.dlp.TransControl.limit, id is 2",[]
580,Oct,10,14,52:41 test-pc systemd[1]: Started kylin dlp control.,2acd0bd8,52:41 test-pc systemd[1]: <*> kylin dlp <*>,"['Started', 'control.']"
581,Oct,10,14,52:41 test-pc dbus-daemon[3138]: [system] [bus_registry_acquire_service] service com.kylin.dlp.TransControl has a unique name :1.14,0ff90feb,52:41 test-pc dbus-daemon[3138]: [system] [bus_registry_acquire_service] service com.kylin.dlp.TransControl has a unique name :1.14,[]
582,Oct,10,14,52:41 test-pc bash[3487]: 重置状态失败：open /sys/kernel/security/dlp/usb_check_status: no such file or directory,4317c379,52:41 test-pc bash[3487]: 重置状态失败：open /sys/kernel/security/dlp/usb_check_status: no such file or directory,[]
583,Oct,10,14,52:42 test-pc dbus-daemon[3138]: [system] [limitCtl]:We found a LIMIT file: com.kylin.dlp.TransControl.limit， client [/usr/bin/hedron-domain-hook.py] with pid [3206],1140cfb0,<*> test-pc dbus-daemon[3138]: [system] [limitCtl]:We found a LIMIT file: com.kylin.dlp.TransControl.limit， client [/usr/bin/hedron-domain-hook.py] with pid <*>,"['52:42', '[3206]']"
584,Oct,10,14,52:42 test-pc dbus-daemon[3138]: [system] [limitCtl]:/usr/bin/hedron-domain-hook.py can call Introspect on service com.kylin.dlp.TransControl,fcc8c2d3,<*> test-pc dbus-daemon[3138]: [system] [limitCtl]:/usr/bin/hedron-domain-hook.py can call <*> on service com.kylin.dlp.TransControl,"['52:42', 'Introspect']"
585,Oct,10,14,52:42 test-pc dbus-daemon[3138]: [system] [limitCtl]:We found a LIMIT file: com.kylin.dlp.TransControl.limit， client [/usr/bin/hedron-domain-hook.py] with pid [3206],1140cfb0,<*> test-pc dbus-daemon[3138]: [system] [limitCtl]:We found a LIMIT file: com.kylin.dlp.TransControl.limit， client [/usr/bin/hedron-domain-hook.py] with pid <*>,"['52:42', '[3206]']"
586,Oct,10,14,52:42 test-pc dbus-daemon[3138]: [system] [limitCtl]:/usr/bin/hedron-domain-hook.py can call GetConfig on service com.kylin.dlp.TransControl,fcc8c2d3,<*> test-pc dbus-daemon[3138]: [system] [limitCtl]:/usr/bin/hedron-domain-hook.py can call <*> on service com.kylin.dlp.TransControl,"['52:42', 'GetConfig']"
587,Oct,10,14,52:42 test-pc python3[3206]: dbus.exceptions.DBusException: com.kylin.dlp.TransControl.ErrorType: open /sys/kernel/security/dlp/usb_check_status: no such file or directory,d67d0b5e,<*> test-pc <*> dbus.exceptions.DBusException: com.kylin.dlp.TransControl.ErrorType: open /sys/kernel/security/dlp/usb_check_status: no such file or directory,"['52:42', 'python3[3206]:']"
588,Oct,10,14,52:42 test-pc python3[3206]: dbus.exceptions.DBusException: com.kylin.dlp.TransControl.ErrorType: open /sys/kernel/security/dlp/usb_check_status: no such file or directory,d67d0b5e,<*> test-pc <*> dbus.exceptions.DBusException: com.kylin.dlp.TransControl.ErrorType: open /sys/kernel/security/dlp/usb_check_status: no such file or directory,"['52:42', 'python3[3206]:']"
589,Oct,10,14,52:43 test-pc dbus-daemon[3138]: [system] [limitCtl]:We found a LIMIT file: com.kylin.dlp.TransControl.limit， client [/usr/bin/hedron-domain-hook.py] with pid [4254],1140cfb0,<*> test-pc dbus-daemon[3138]: [system] [limitCtl]:We found a LIMIT file: com.kylin.dlp.TransControl.limit， client [/usr/bin/hedron-domain-hook.py] with pid <*>,"['52:43', '[4254]']"
590,Oct,10,14,52:43 test-pc dbus-daemon[3138]: [system] [limitCtl]:/usr/bin/hedron-domain-hook.py can call Introspect on service com.kylin.dlp.TransControl,fcc8c2d3,<*> test-pc dbus-daemon[3138]: [system] [limitCtl]:/usr/bin/hedron-domain-hook.py can call <*> on service com.kylin.dlp.TransControl,"['52:43', 'Introspect']"
591,Oct,10,14,52:43 test-pc dbus-daemon[3138]: [system] [limitCtl]:We found a LIMIT file: com.kylin.dlp.TransControl.limit， client [/usr/bin/hedron-domain-hook.py] with pid [4254],1140cfb0,<*> test-pc dbus-daemon[3138]: [system] [limitCtl]:We found a LIMIT file: com.kylin.dlp.TransControl.limit， client [/usr/bin/hedron-domain-hook.py] with pid <*>,"['52:43', '[4254]']"
592,Oct,10,14,52:43 test-pc dbus-daemon[3138]: [system] [limitCtl]:/usr/bin/hedron-domain-hook.py can call GetConfig on service com.kylin.dlp.TransControl,fcc8c2d3,<*> test-pc dbus-daemon[3138]: [system] [limitCtl]:/usr/bin/hedron-domain-hook.py can call <*> on service com.kylin.dlp.TransControl,"['52:43', 'GetConfig']"
593,Oct,10,14,52:43 test-pc python3[4254]: dbus.exceptions.DBusException: com.kylin.dlp.TransControl.ErrorType: open /sys/kernel/security/dlp/usb_check_status: no such file or directory,d67d0b5e,<*> test-pc <*> dbus.exceptions.DBusException: com.kylin.dlp.TransControl.ErrorType: open /sys/kernel/security/dlp/usb_check_status: no such file or directory,"['52:43', 'python3[4254]:']"
594,Oct,10,14,52:43 test-pc python3[4254]: dbus.exceptions.DBusException: com.kylin.dlp.TransControl.ErrorType: open /sys/kernel/security/dlp/usb_check_status: no such file or directory,d67d0b5e,<*> test-pc <*> dbus.exceptions.DBusException: com.kylin.dlp.TransControl.ErrorType: open /sys/kernel/security/dlp/usb_check_status: no such file or directory,"['52:43', 'python3[4254]:']"
595,Oct,10,14,52:43 test-pc dbus-daemon[3138]: [system] [limitCtl]:We found a LIMIT file: com.kylin.dlp.TransControl.limit， client [/usr/bin/hedron-domain-hook.py] with pid [4472],1140cfb0,<*> test-pc dbus-daemon[3138]: [system] [limitCtl]:We found a LIMIT file: com.kylin.dlp.TransControl.limit， client [/usr/bin/hedron-domain-hook.py] with pid <*>,"['52:43', '[4472]']"
596,Oct,10,14,52:43 test-pc dbus-daemon[3138]: [system] [limitCtl]:/usr/bin/hedron-domain-hook.py can call Introspect on service com.kylin.dlp.TransControl,fcc8c2d3,<*> test-pc dbus-daemon[3138]: [system] [limitCtl]:/usr/bin/hedron-domain-hook.py can call <*> on service com.kylin.dlp.TransControl,"['52:43', 'Introspect']"
597,Oct,10,14,52:43 test-pc dbus-daemon[3138]: [system] [limitCtl]:We found a LIMIT file: com.kylin.dlp.TransControl.limit， client [/usr/bin/hedron-domain-hook.py] with pid [4472],1140cfb0,<*> test-pc dbus-daemon[3138]: [system] [limitCtl]:We found a LIMIT file: com.kylin.dlp.TransControl.limit， client [/usr/bin/hedron-domain-hook.py] with pid <*>,"['52:43', '[4472]']"
598,Oct,10,14,52:43 test-pc dbus-daemon[3138]: [system] [limitCtl]:/usr/bin/hedron-domain-hook.py can call GetConfig on service com.kylin.dlp.TransControl,fcc8c2d3,<*> test-pc dbus-daemon[3138]: [system] [limitCtl]:/usr/bin/hedron-domain-hook.py can call <*> on service com.kylin.dlp.TransControl,"['52:43', 'GetConfig']"
599,Oct,10,14,52:43 test-pc python3[4472]: dbus.exceptions.DBusException: com.kylin.dlp.TransControl.ErrorType: open /sys/kernel/security/dlp/usb_check_status: no such file or directory,d67d0b5e,<*> test-pc <*> dbus.exceptions.DBusException: com.kylin.dlp.TransControl.ErrorType: open /sys/kernel/security/dlp/usb_check_status: no such file or directory,"['52:43', 'python3[4472]:']"
600,Oct,10,14,52:43 test-pc python3[4472]: dbus.exceptions.DBusException: com.kylin.dlp.TransControl.ErrorType: open /sys/kernel/security/dlp/usb_check_status: no such file or directory,d67d0b5e,<*> test-pc <*> dbus.exceptions.DBusException: com.kylin.dlp.TransControl.ErrorType: open /sys/kernel/security/dlp/usb_check_status: no such file or directory,"['52:43', 'python3[4472]:']"
601,Oct,10,14,52:44 test-pc dbus-daemon[3138]: [system] [limitCtl]:We found a LIMIT file: com.kylin.dlp.TransControl.limit， client [/usr/bin/hedron-domain-hook.py] with pid [4603],1140cfb0,<*> test-pc dbus-daemon[3138]: [system] [limitCtl]:We found a LIMIT file: com.kylin.dlp.TransControl.limit， client [/usr/bin/hedron-domain-hook.py] with pid <*>,"['52:44', '[4603]']"
602,Oct,10,14,52:44 test-pc dbus-daemon[3138]: [system] [limitCtl]:/usr/bin/hedron-domain-hook.py can call Introspect on service com.kylin.dlp.TransControl,fcc8c2d3,<*> test-pc dbus-daemon[3138]: [system] [limitCtl]:/usr/bin/hedron-domain-hook.py can call <*> on service com.kylin.dlp.TransControl,"['52:44', 'Introspect']"
603,Oct,10,14,52:44 test-pc dbus-daemon[3138]: [system] [limitCtl]:We found a LIMIT file: com.kylin.dlp.TransControl.limit， client [/usr/bin/hedron-domain-hook.py] with pid [4603],1140cfb0,<*> test-pc dbus-daemon[3138]: [system] [limitCtl]:We found a LIMIT file: com.kylin.dlp.TransControl.limit， client [/usr/bin/hedron-domain-hook.py] with pid <*>,"['52:44', '[4603]']"
604,Oct,10,14,52:44 test-pc dbus-daemon[3138]: [system] [limitCtl]:/usr/bin/hedron-domain-hook.py can call GetConfig on service com.kylin.dlp.TransControl,fcc8c2d3,<*> test-pc dbus-daemon[3138]: [system] [limitCtl]:/usr/bin/hedron-domain-hook.py can call <*> on service com.kylin.dlp.TransControl,"['52:44', 'GetConfig']"
605,Oct,10,14,52:44 test-pc python3[4603]: dbus.exceptions.DBusException: com.kylin.dlp.TransControl.ErrorType: open /sys/kernel/security/dlp/usb_check_status: no such file or directory,d67d0b5e,<*> test-pc <*> dbus.exceptions.DBusException: com.kylin.dlp.TransControl.ErrorType: open /sys/kernel/security/dlp/usb_check_status: no such file or directory,"['52:44', 'python3[4603]:']"
606,Oct,10,14,52:44 test-pc python3[4603]: dbus.exceptions.DBusException: com.kylin.dlp.TransControl.ErrorType: open /sys/kernel/security/dlp/usb_check_status: no such file or directory,d67d0b5e,<*> test-pc <*> dbus.exceptions.DBusException: com.kylin.dlp.TransControl.ErrorType: open /sys/kernel/security/dlp/usb_check_status: no such file or directory,"['52:44', 'python3[4603]:']"
607,Oct,10,14,"52:44 test-pc dbus-daemon[4653]: [session uid=1000 pid=4653] [limitCtl]: full_limit_name is /etc/dbus-1/conf/com.kylin.dlp.TransControl.limit, id is 2",f083ab81,"<*> test-pc <*> [session uid=1000 <*> [limitCtl]: full_limit_name is /etc/dbus-1/conf/com.kylin.dlp.TransControl.limit, id is 2","['52:44', 'dbus-daemon[4653]:', 'pid=4653]']"
608,Oct,10,14,52:44 test-pc dbus-daemon[3138]: [system] [limitCtl]:We found a LIMIT file: com.kylin.dlp.TransControl.limit， client [/usr/bin/hedron-domain-hook.py] with pid [4659],1140cfb0,<*> test-pc dbus-daemon[3138]: [system] [limitCtl]:We found a LIMIT file: com.kylin.dlp.TransControl.limit， client [/usr/bin/hedron-domain-hook.py] with pid <*>,"['52:44', '[4659]']"
609,Oct,10,14,52:44 test-pc dbus-daemon[3138]: [system] [limitCtl]:/usr/bin/hedron-domain-hook.py can call Introspect on service com.kylin.dlp.TransControl,fcc8c2d3,<*> test-pc dbus-daemon[3138]: [system] [limitCtl]:/usr/bin/hedron-domain-hook.py can call <*> on service com.kylin.dlp.TransControl,"['52:44', 'Introspect']"
610,Oct,10,14,52:44 test-pc dbus-daemon[3138]: [system] [limitCtl]:We found a LIMIT file: com.kylin.dlp.TransControl.limit， client [/usr/bin/hedron-domain-hook.py] with pid [4659],1140cfb0,<*> test-pc dbus-daemon[3138]: [system] [limitCtl]:We found a LIMIT file: com.kylin.dlp.TransControl.limit， client [/usr/bin/hedron-domain-hook.py] with pid <*>,"['52:44', '[4659]']"
611,Oct,10,14,52:44 test-pc dbus-daemon[3138]: [system] [limitCtl]:/usr/bin/hedron-domain-hook.py can call GetConfig on service com.kylin.dlp.TransControl,fcc8c2d3,<*> test-pc dbus-daemon[3138]: [system] [limitCtl]:/usr/bin/hedron-domain-hook.py can call <*> on service com.kylin.dlp.TransControl,"['52:44', 'GetConfig']"
612,Oct,10,14,"52:44 test-pc dbus-daemon[4748]: [limitCtl]: full_limit_name is /etc/dbus-1/conf/com.kylin.dlp.TransControl.limit, id is 2",648e51c9,"<*> test-pc <*> [limitCtl]: full_limit_name is /etc/dbus-1/conf/com.kylin.dlp.TransControl.limit, id is 2","['52:44', 'dbus-daemon[4748]:']"
613,Oct,10,14,52:44 test-pc python3[4659]: dbus.exceptions.DBusException: com.kylin.dlp.TransControl.ErrorType: open /sys/kernel/security/dlp/usb_check_status: no such file or directory,d67d0b5e,<*> test-pc <*> dbus.exceptions.DBusException: com.kylin.dlp.TransControl.ErrorType: open /sys/kernel/security/dlp/usb_check_status: no such file or directory,"['52:44', 'python3[4659]:']"
614,Oct,10,14,52:44 test-pc python3[4659]: dbus.exceptions.DBusException: com.kylin.dlp.TransControl.ErrorType: open /sys/kernel/security/dlp/usb_check_status: no such file or directory,d67d0b5e,<*> test-pc <*> dbus.exceptions.DBusException: com.kylin.dlp.TransControl.ErrorType: open /sys/kernel/security/dlp/usb_check_status: no such file or directory,"['52:44', 'python3[4659]:']"
615,Oct,10,14,52:44 test-pc dbus-daemon[3138]: [system] [limitCtl]:We found a LIMIT file: com.kylin.dlp.TransControl.limit， client [/usr/bin/hedron-domain-hook.py] with pid [4802],1140cfb0,<*> test-pc dbus-daemon[3138]: [system] [limitCtl]:We found a LIMIT file: com.kylin.dlp.TransControl.limit， client [/usr/bin/hedron-domain-hook.py] with pid <*>,"['52:44', '[4802]']"
616,Oct,10,14,52:44 test-pc dbus-daemon[3138]: [system] [limitCtl]:/usr/bin/hedron-domain-hook.py can call Introspect on service com.kylin.dlp.TransControl,fcc8c2d3,<*> test-pc dbus-daemon[3138]: [system] [limitCtl]:/usr/bin/hedron-domain-hook.py can call <*> on service com.kylin.dlp.TransControl,"['52:44', 'Introspect']"
617,Oct,10,14,52:44 test-pc dbus-daemon[3138]: [system] [limitCtl]:We found a LIMIT file: com.kylin.dlp.TransControl.limit， client [/usr/bin/hedron-domain-hook.py] with pid [4802],1140cfb0,<*> test-pc dbus-daemon[3138]: [system] [limitCtl]:We found a LIMIT file: com.kylin.dlp.TransControl.limit， client [/usr/bin/hedron-domain-hook.py] with pid <*>,"['52:44', '[4802]']"
618,Oct,10,14,52:44 test-pc dbus-daemon[3138]: [system] [limitCtl]:/usr/bin/hedron-domain-hook.py can call GetConfig on service com.kylin.dlp.TransControl,fcc8c2d3,<*> test-pc dbus-daemon[3138]: [system] [limitCtl]:/usr/bin/hedron-domain-hook.py can call <*> on service com.kylin.dlp.TransControl,"['52:44', 'GetConfig']"
619,Oct,10,14,52:44 test-pc python3[4802]: dbus.exceptions.DBusException: com.kylin.dlp.TransControl.ErrorType: open /sys/kernel/security/dlp/usb_check_status: no such file or directory,d67d0b5e,<*> test-pc <*> dbus.exceptions.DBusException: com.kylin.dlp.TransControl.ErrorType: open /sys/kernel/security/dlp/usb_check_status: no such file or directory,"['52:44', 'python3[4802]:']"
620,Oct,10,14,52:44 test-pc python3[4802]: dbus.exceptions.DBusException: com.kylin.dlp.TransControl.ErrorType: open /sys/kernel/security/dlp/usb_check_status: no such file or directory,d67d0b5e,<*> test-pc <*> dbus.exceptions.DBusException: com.kylin.dlp.TransControl.ErrorType: open /sys/kernel/security/dlp/usb_check_status: no such file or directory,"['52:44', 'python3[4802]:']"
