EventId,EventTemplate,Occurrences
d67d0b5e,<*> test-pc <*> dbus.exceptions.DBusException: com.kylin.dlp.TransControl.ErrorType: open /sys/kernel/security/dlp/usb_check_status: no such file or directory,24
648e51c9,"<*> test-pc <*> [limitCtl]: full_limit_name is /etc/dbus-1/conf/com.kylin.dlp.TransControl.limit, id is 2",4
bbe35078,<*> test-pc kernel: [ <*> <*> module <*>,72
beeb93c9,<*> test-pc kernel: [ <*> Security Module <*> loaded with <*> hooks,38
ba1e19c2,<*> test-pc kernel: [ <*> <*> kernel module add LSM hooks successfully.,38
8c9b742a,<*> test-pc kernel: [ <*> <*> kernel module sysfs init successfully.,38
fad656b7,<*> test-pc kernel: [ <*> dlp_file_pro: uid=1000 <*> comm=/usr/bin/mv rename sensitive file <*> <*> old_ino=3932162 new_ino=3932162 old_dentry_ino=3939923 new_dentry_ino=3939923,12
e52a19d3,<*> test-pc kernel: [ <*> Security Module <*> removed,34
480a21b4,<*> test-pc kernel: [ <*> dlp_file_pro: uid=1000 <*> comm=/usr/bin/mv rename sensitive file <*> <*> dir_ino=3932162 inode_ino=3939923,78
8e73bd79,<*> test-pc kernel: [ <*> dlp_file_pro: <*>,240
4a8c5b8b,<*> test-pc kernel: [ <*> dlp_file_pro: rename sensitive file uid=1000 <*> comm=/usr/bin/mv <*> <*> old_dir_ino=3932162 <*>,58
d8f99820,<*> test-pc kernel: [ <*> ky_dlp_ko: <*> is opening usb file in RDONLY mode,50
19f48a0a,<*> test-pc kernel: [ <*> <*> <*> is not permitted to write usb device.,58
5dc4d9a9,<*> test-pc kernel: [ <*> ky_dlp: ======= /,18
919d8756,<*> test-pc kernel: [ <*> <*> <*> is not permitted to write usb <*> <*> <*>,18
eba24921,<*> test-pc kernel: [ <*> ky_dlp_ko: inode_unlink /usr/bin/rm is not permitted to write usb device. file=abc,12
c562b3bc,<*> test-pc kernel: <*> ky_dlp module <*>,6
325b1d19,<*> test-pc kernel: <*> <*> <*> is not permitted to write usb device. <*> uid=1000,14
d6c502f3,<*> test-pc kernel: <*> T4492] [file ====== <*> ],144
e5743556,<*> test-pc kernel: <*> [file ====== <*> ],78
